### Top 5 hits for each virus with each method used
### Score 1 / Score 2 columns correpond respectively to:
### For blast hits => Total number of matches in hsps / Average percentage of identity across the full alignment
### For crispr hits => Number of mismatches / Length of CRISPR spacer
### For WIsH => Log-likelihood / P-value
### For VirHostMatcher => s2 similarity/ NA
### For PHP => PHP score/ NA
### For RaFAH => Confidence score / estimated FDR
### For iPHoP-RF => Confidence score / estimated FDR
Virus,Method,Host,Host taxonomy,Metric 1,Score 1,Metric 2,Score 2,Rank,Host representative
contig_10002,crispr,MGYG000174907,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis,N_mismatches,4.000,Spacer_length,29.0,1,RS_GCF_010669225.1
contig_10002,iPHoP-RF,RS_GCF_041645105.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp041645105,Confidence_score,0.588,FDR,0.571,1,RS_GCF_041645105.1
contig_10002,iPHoP-RF,3300051388_58,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,Confidence_score,0.546,FDR,0.619,2,3300051388_58
contig_10002,iPHoP-RF,RS_GCF_004362245.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter duraquae,Confidence_score,0.522,FDR,0.646,3,RS_GCF_004362245.1
contig_10002,iPHoP-RF,3300023082_9,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__,Confidence_score,0.512,FDR,0.657,4,3300023082_9
contig_10002,iPHoP-RF,GB_GCA_014302835.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter sp014302835,Confidence_score,0.508,FDR,0.661,5,GB_GCA_014302835.1
contig_10002,php,GCA_002699485.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA2962;g__UBA2962;s__UBA2962 sp002699485,Score,1427.548,NA,NA,1,GB_GCA_002699485.1
contig_10002,php,3300042676_3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__,Score,1425.778,NA,NA,2,3300042676_3
contig_10002,php,GCF_025961315.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium kitahiroshimense,Score,1425.774,NA,NA,3,RS_GCF_025961315.1
contig_10002,php,GCA_022447925.1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA2962;g__UBA2962;s__UBA2962 sp022447925,Score,1425.720,NA,NA,4,GB_GCA_022447925.1
contig_10002,php,GCF_004362245.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter duraquae,Score,1425.407,NA,NA,5,RS_GCF_004362245.1
contig_10002,rafah,Prochlorococcus,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A,Confidence_score,0.174,FDR,0.82,1,NA
