contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
contig_10002	15992	NA	127344.17731785866	12.55809282907613	low	17.1488075584792	121	CheckV-041977	62.8	8.92	8.895634724982461	20.52753716417183	12	1.0
contig_10003	76492	NA	62134.842622439974	100.0	low	34.0128276133136	961	CheckV-041977	51.5	4.27	44.27003765498893	73.62766385108328	32	1.0
contig_10172	17188	NA	63966.0	26.870524966388395	low	27.4427620025844	1	CheckV-000991	37.0	6.68	NA	NA	0	1.01
contig_10175	18656	NA	299385.774894458	6.231424992245129	low	28.6374455909989	22	CheckV-000685	31.7	2.45	28.8	56.78	1	1.0
contig_10454	4457	NA	165784.31631033748	2.688432838035647	low	16.7746825248758	112	CheckV-022574	37.1	23.71	NA	NA	0	1.0
contig_1047	5721	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.16
contig_10741	13756	NA	52288.73790310485	26.307768272186934	low	29.1891156069426	14	CheckV-002784	29.2	7.63	24.637827208252737	52.495467440361054	3	1.01
contig_1093	20425	NA	58736.0	34.77424407518387	medium	7.04923548312426	2	CheckV-000253	67.3	16.8	NA	NA	0	1.0
contig_11015	16257	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.25
contig_11282	41963	NA	88860.76245380008	47.22331751521616	low	34.0128276133136	167	CheckV-020791	51.6	4.24	NA	NA	0	1.01
contig_11435	13446	NA	42663.852963900936	31.51614086842328	low	32.8609121902687	14	CheckV-006905	26.3	10.49	24.081579626047706	51.312946486137974	3	1.02
contig_11461	22307	NA	68978.34939004437	32.339132781886434	low	27.441312952095	991	CheckV-004541	22.9	12.45	23.287358470204644	54.12801302812409	6	1.01
contig_11516	47900	NA	60582.09146044611	79.06626999048686	high	2.32417655550891	22	CheckV-040359	57.6	19.84	45.6086972829732	75.52941549488351	11	1.0
contig_11591	29275	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_11714	18016	NA	55561.930988229666	32.42507896965737	low	28.6374455909989	36	CheckV-012470	31.0	7.38	NA	NA	0	1.0
contig_11874	32565	NA	1163706.8245276501	2.798385238757895	low	17.6215217642305	13	CheckV-054001	44.7	10.51	12.23	26.229999999999997	1	1.11
contig_12109	33598	NA	42952.71757446133	78.22089473560243	low	21.1704738531244	64	CheckV-031127	22.6	16.69	53.16879970553132	84.0127153581029	3	1.0
contig_12128	3002	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	5.03
contig_12134	11674	NA	6585.976595420958	100.0	low	25.5595308871383	22	CheckV-003940	29.4	17.45	36.164533132530124	100.0	2	1.0
contig_12196	11401	NA	5973.894822143976	100.0	low	17.7188662440404	43	CheckV-010083	30.9	27.08	36.04753012048193	100.0	2	1.0
contig_12270	9455	NA	102247.39256349878	9.247179573922292	low	26.9204150716114	74	CheckV-048645	42.0	9.5	NA	NA	0	1.0
contig_12284	40279	NA	163833.82119732638	24.58527775622517	low	28.6097154000585	35	CheckV-052281	26.0	9.93	NA	NA	0	1.0
contig_12308	11083	NA	52650.17208956671	21.050263579663085	low	18.6356392398109	91	CheckV-018615	37.7	14.22	17.65583406450707	60.664667462183694	3	1.0
contig_12398	33217	NA	53633.50728505817	61.93329819631984	low	25.0168993387215	73	CheckV-031189	44.2	2.24	23.026363636363637	93.02101515151516	2	1.0
contig_12491	9638	NA	47393.85486194565	20.33596977514214	low	23.5973739108457	28	CheckV-014881	43.3	12.07	15.283782898737837	26.490500067780342	8	1.0
contig_1263	12568	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_12646	16591	NA	108121.7981225712	15.344731856190348	low	21.1704738531244	550	CheckV-041653	27.5	15.64	7.667529483599698	31.058578746499382	5	1.0
contig_12882	14407	NA	107865.08370353373	13.356500088200477	low	12.3818071879646	770	CheckV-049019	46.2	21.96	NA	NA	0	1.0
contig_13305	23875	19272	77095.51343947808	24.997563593799796	low	26.8672114679771	405	CheckV-015960	40.5	7.37	18.845671939150005	41.85857901062294	3	1.0
contig_13360	7871	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_13388	7246	NA	67874.32508560573	10.675612598520964	low	26.9656238848579	32	CheckV-008285	38.7	7.73	NA	NA	0	1.03
contig_13402	72415	NA	97605.79806808443	74.1912892812856	low	21.8799554709198	115	CheckV-021503	37.8	7.98	NA	NA	0	1.04
contig_13816	23477	NA	24352.0	96.40686596583443	low	14.353007412968	1	CheckV-009367	32.8	14.04	100.0	100.0	1	1.35
contig_1389	9887	NA	56786.0	17.410981579966894	low	25.1029277801869	1	CheckV-000693	46.0	4.14	NA	NA	0	1.0
contig_14331	47699	NA	45013.53110873645	100.0	low	33.4305729197674	132	CheckV-019959	32.2	3.72	62.063152454780365	100.00000000000001	2	1.0
contig_14495	8793	NA	7504.590470957749	100.0	low	15.7472323702244	18	CheckV-009582	40.6	20.86	81.98	100.0	1	1.0
contig_14695	39691	NA	246299.06242212796	16.11496187182972	low	17.7366586216144	24	CheckV-059122	34.8	10.48	33.567460743060984	75.60519246622053	5	1.0
contig_14713	65506	NA	281231.0	23.292595766469557	low	33.4305729197674	1	CheckV-018254	28.9	3.25	NA	NA	0	1.04
contig_14801	6271	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.05
contig_15719	20432	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.02
contig_1585	4444	NA	76213.51267368595	5.830986978683596	low	11.6380162023316	306	CheckV-010775	43.7	28.35	NA	NA	0	1.0
contig_15961	9900	NA	52963.585586425506	18.692087951343982	low	25.1029277801869	4	CheckV-016553	45.6	4.73	11.806000812533327	33.206454307696205	3	1.0
contig_16025	8540	NA	147843.3819715435	5.776383011614112	low	23.5973739108457	7	CheckV-002885	42.7	10.57	NA	NA	0	1.0
contig_16118	8792	NA	181756.0702968353	4.837252470105305	low	37.7921073948101	126	CheckV-042948	83.7	19.09	3.7381832509577615	6.619459514356335	8	1.0
contig_16144	92864	NA	143162.37822549863	64.8662037827617	low	34.9257320695997	121	CheckV-000360	34.8	3.09	37.228265766139074	69.16139678658595	5	1.0
contig_16607	44691	NA	50078.46370808678	89.2419549060232	low	33.4305729197674	50	CheckV-018137	30.5	3.42	50.0901378977679	100.00000000000001	3	1.0
contig_16679	689963	NA	341246.3721442915	100.0	low	33.4305729197674	134	CheckV-037794	30.8	0.42	55.49	100.0	1	1.25
contig_16712	5411	NA	68501.44093530127	7.8991039109828645	low	29.1005291005291	9	CheckV-032971	23.5	26.23	NA	NA	0	1.01
contig_16944	8597	NA	157166.23795278286	5.47000431643772	low	17.48999801379	1461	CheckV-061360	52.9	10.26	3.7823729479102237	7.251422054800856	7	1.0
contig_16968	271656	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.19
contig_17008	14146	NA	6424.698982838384	100.0	low	20.6566983698812	40	CheckV-008246	33.9	14.68	100.0	100.0	1	1.01
contig_17071	8362	NA	127971.17743315689	6.534283865886691	low	16.4293487069065	41	CheckV-016641	26.7	30.77	NA	NA	0	1.0
contig_17311	11545	NA	123467.58446734228	9.350632435069388	low	17.48999801379	93	CheckV-018191	52.7	12.12	10.27	38.67	1	1.0
contig_1748	30513	NA	38432.65525603955	79.39342154925659	low	26.8672114679771	5	CheckV-012217	42.1	2.14	47.553338090802846	85.4544446687701	4	1.01
contig_17686	55086	NA	94221.8645509172	58.46413702653029	low	35.9439843853632	217	CheckV-008629	41.6	4.53	30.86	100.0	1	1.03
contig_17713	69849	NA	103335.63991055789	67.5942976309604	low	33.4305729197674	7	CheckV-001615	30.8	4.28	NA	NA	0	1.03
contig_17887	27712	NA	736232.123702921	3.7640302708636146	medium	7.17609750786514	174	CheckV-059168	56.6	18.64	2.22	13.929999999999998	1	1.08
contig_17959	28363	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.17
contig_18178	45271	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.04
contig_18257	157955	NA	315830.0957350529	50.012649881380234	low	32.8837114381832	6	CheckV-001180	27.3	0.67	NA	NA	0	1.11
contig_18432	34812	NA	55424.76659528908	62.80946612585086	low	25.0168993387215	4	CheckV-002931	47.4	5.5	12.707526952311591	31.058977504692937	3	1.0
contig_18752	14131	NA	46980.16991728515	30.07864812936928	low	26.9204150716114	9	CheckV-009263	39.8	7.77	20.629026763990264	45.675620437956205	2	1.02
contig_19059	22878	NA	47679.036672736904	47.98335200652606	low	14.2746572313136	51	CheckV-012241	59.6	8.88	24.180905646019912	80.98113305307552	4	1.02
contig_19092	61324	NA	80683.07708987259	76.00602531766533	low	34.5701557787554	118	CheckV-031131	47.2	3.42	NA	NA	0	1.02
contig_19241	37751	NA	81847.56859197254	46.12354484003884	low	33.3907312294036	34	CheckV-041977	74.1	8.82	23.814130810564098	60.07322783898595	16	1.0
contig_19242	7571	NA	85736.51017235372	8.830543702770534	medium	8.27926800380119	3	CheckV-041977	49.7	26.67	9.009978284473396	22.465396308360475	2	1.0
contig_19262	21489	NA	NA	NA	NA	NA	0	NA	NA	NA	13.84	56.40999999999999	1	1.11
contig_19407	14093	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
